pass,param,value,logloss,mae
0,decay,0.7,3.7649544675253948,9.014634149972203
0,decay,0.8,3.7639175074834212,9.005983653117125
0,decay,0.9,3.764680388117937,9.013247982606769
0,decay,0.95,3.7677912983349033,9.039861051513613
0,decay,1.0,3.7758605099088194,9.11521488806562
0,k_long,0.5,3.7626201307542773,9.008979201765364
0,k_long,1.0,3.761967636100647,8.997369861330599
0,k_long,2.0,3.7638442336158797,9.005780987417078
0,k_long,4.0,3.7690371577655526,9.043986383783404
0,k_long,8.0,3.7768837059258646,9.107649836993868
0,k_role,0.25,3.7629382164023286,9.007541330674831
0,k_role,0.5,3.76228910401357,9.002118781997192
0,k_role,1.0,3.761936320878859,8.998122844014407
0,k_role,2.0,3.761967636100647,8.997369861330599
0,k_role,4.0,3.7623853714918476,8.999374585448251
0,k_role,8.0,3.7631013873684402,9.004034435157966
0,k_league,3.0,3.762304198657731,9.000665344258788
0,k_league,10.0,3.7621283694113146,8.999314523294618
0,k_league,100.0,3.761831789671546,8.997417589922257
0,k_league,300.0,3.7618471952385653,8.997523624042705
0,short_weight,0.05,3.7617542927180745,8.995440443601474
0,short_weight,0.1,3.761831789671546,8.997417589922257
0,short_weight,0.25,3.7622446916498133,9.004479952133336
0,short_weight,0.5,3.763352962290713,9.019441845796406
0,short_weight,0.75,3.764795899664056,9.036451244847719
0,short_weight,1.0,3.7664521328057754,9.055452604637031
0,beta_GK,-0.5,3.7617054205738096,8.988401392475172
0,beta_GK,-0.25,3.761233448107023,8.986901290897867
0,beta_GK,0.0,3.7617542927180745,8.995440443601474
0,beta_GK,0.25,3.7631844850677107,9.012012140381612
0,beta_GK,0.5,3.7654707533406766,9.035243448325588
0,beta_GK,0.75,3.7685885374971297,9.06499573299516
0,beta_GK,1.0,3.772539614680102,9.099596534955063
0,beta_GK,1.25,3.7773490946680686,9.13791237763775
0,beta_GK,1.5,3.783062016160722,9.179401115191792
0,beta_GK,1.75,3.7897397350595226,9.223401025159427
0,beta_DEF,-0.5,3.844001803092069,9.880171141013331
0,beta_DEF,-0.25,3.8227588579258738,9.657982694177857
0,beta_DEF,0.0,3.8046459118620795,9.468093239496813
0,beta_DEF,0.25,3.7895981867443824,9.308192974446785
0,beta_DEF,0.5,3.7776223372044897,9.178896124383574
0,beta_DEF,0.75,3.7687976463576622,9.082468496315983
0,beta_DEF,1.0,3.7632691741190216,9.017698373608413
0,beta_DEF,1.5,3.762918366908708,8.989388935783914
0,beta_DEF,1.75,3.7685598631625807,9.027287565819263
0,beta_MID,-0.5,3.8091072631954765,9.49045742728238
0,beta_MID,-0.25,3.7945312752110447,9.355166659880389
0,beta_MID,0.0,3.782684026832637,9.237646291990814
0,beta_MID,0.25,3.773452016232374,9.140445018756656
0,beta_MID,0.5,3.7667830757173046,9.063352560922352
0,beta_MID,0.75,3.7626873982448994,9.011498790221522
0,beta_MID,1.25,3.7625393632085053,8.987416540574738
0,beta_MID,1.5,3.766760794286098,9.013841316736011
0,beta_MID,1.75,3.7740763521454093,9.06858545838114
0,beta_FWD,-0.5,3.779512191723996,9.101347515299047
0,beta_FWD,-0.25,3.772590929547423,9.06079142976305
0,beta_FWD,0.0,3.767386176741549,9.029069677464314
0,beta_FWD,0.25,3.7637916963936364,9.00703624254772
0,beta_FWD,0.5,3.7617465216870967,8.993311430869392
0,beta_FWD,1.0,3.7622756395618877,8.989532682947496
0,beta_FWD,1.25,3.7649317845717576,9.000829949687198
0,beta_FWD,1.5,3.7692902372089487,9.020578396905535
0,beta_FWD,1.75,3.775462538717975,9.047830287068471
1,decay,0.7,3.765267660014179,9.021620732826733
1,decay,0.8,3.7622353228052945,8.99660951724795
1,decay,0.9,3.7613121783251064,8.987647026312505
1,decay,0.95,3.7639697522177493,9.010089609232173
1,decay,1.0,3.7711428108714418,9.079193721093887
1,k_long,0.5,3.7621956340630285,8.999482986987159
1,k_long,2.0,3.7622907689684957,8.99144775175336
1,k_long,4.0,3.7661250885265662,9.020597059705377
1,k_long,8.0,3.7723938005249855,9.073712663194646
1,k_role,0.25,3.762311582288674,8.99589910646206
1,k_role,0.5,3.761628782547363,8.990843592226895
1,k_role,2.0,3.761223873131768,8.985836849072307
1,k_role,4.0,3.76160557829055,8.987710205187671
1,k_role,8.0,3.762292221893592,8.992139375602669
1,k_league,3.0,3.7618085382044733,8.990261816424477
1,k_league,10.0,3.7615870529464948,8.988527051355808
1,k_league,30.0,3.7613520189984744,8.986742922585025
1,k_league,300.0,3.7612418457341743,8.985931141779123
1,short_weight,0.1,3.7613096842936056,8.987778998363572
1,short_weight,0.25,3.7617132915617657,8.994635095104732
1,short_weight,0.5,3.762747590695679,9.008536857609261
1,short_weight,0.75,3.764089831363878,9.024383847170219
1,short_weight,1.0,3.76563975444384,9.042049723911726
1,beta_GK,-0.5,3.761671703886586,8.987237692036935
1,beta_GK,0.0,3.7617524097308945,8.994543109582079
1,beta_GK,0.25,3.763174840829988,9.010914027457572
1,beta_GK,0.5,3.765439992106548,9.033934622167862
1,beta_GK,0.75,3.768526259859927,9.063279638044326
1,beta_GK,1.0,3.7724390024058243,9.097540822219294
1,beta_GK,1.25,3.777207318634327,9.135513614356848
1,beta_GK,1.5,3.782880445008575,9.17659716041002
1,beta_GK,1.75,3.789523959640155,9.22019795284685
1,beta_DEF,-0.5,3.843055485325816,9.870905473560464
1,beta_DEF,-0.25,3.8221062558070944,9.651902620479479
1,beta_DEF,0.0,3.804249566441004,9.464056741892257
1,beta_DEF,0.25,3.78940568198947,9.305978720422788
1,beta_DEF,0.5,3.7775714318754554,9.177553723346525
1,beta_DEF,0.75,3.7688220738578675,9.081722630327048
1,beta_DEF,1.0,3.7633047252997067,9.016954116860452
1,beta_DEF,1.5,3.7628205518015405,8.987217395125407
1,beta_DEF,1.75,3.768347721715078,9.024552877564446
1,beta_MID,-0.5,3.8084424926262646,9.484319433286698
1,beta_MID,-0.25,3.794093493978991,9.350948742596346
1,beta_MID,0.0,3.7824337146816105,9.234726211872463
1,beta_MID,0.25,3.773340217598879,9.138314786318137
1,beta_MID,0.5,3.766756415734604,9.062179214217055
1,beta_MID,0.75,3.762693072448156,9.010533331465554
1,beta_MID,1.25,3.762476210650885,8.985883636717727
1,beta_MID,1.5,3.766618155871274,9.01162734123691
1,beta_MID,1.75,3.773842824416161,9.065955141264899
1,beta_FWD,-0.5,3.779209681260301,9.098752012461864
1,beta_FWD,-0.25,3.7724268221610755,9.058768597805892
1,beta_FWD,0.0,3.7673221097976795,9.027965734273977
1,beta_FWD,0.25,3.7637861756032134,9.006256083162732
1,beta_FWD,0.5,3.7617581619726854,8.99261188275042
1,beta_FWD,1.0,3.7622119490612227,8.988290780141742
1,beta_FWD,1.25,3.7647885336389306,8.999360520620373
1,beta_FWD,1.5,3.769050893556412,9.018768548715894
1,beta_FWD,1.75,3.775120400695281,9.045268425093038
