decay,k_prior,promoted_mult,mae
0.7,0.5,0.5,67.11016421583443
0.7,0.5,1.0,66.99663307183788
0.7,0.5,2.0,66.8659961393114
0.7,0.5,4.0,66.71307409092488
0.7,0.5,8.0,66.60962174605967
0.7,0.5,16.0,66.54350678732493
0.7,1.0,0.5,66.50550777364981
0.7,1.0,1.0,66.34051513219175
0.7,1.0,2.0,66.1756985506307
0.7,1.0,4.0,66.05322584658197
0.7,1.0,8.0,65.97563488225734
0.7,1.0,16.0,65.95470408057672
0.7,2.0,0.5,66.76988492831701
0.7,2.0,1.0,66.58806955248217
0.7,2.0,2.0,66.44088022945097
0.7,2.0,4.0,66.35036224714531
0.7,2.0,8.0,66.31909255416079
0.7,2.0,16.0,66.340858321875
0.7,4.0,0.5,68.45227889725406
0.7,4.0,1.0,68.31175791205024
0.7,4.0,2.0,68.2325120259089
0.7,4.0,4.0,68.23174236909331
0.7,4.0,8.0,68.26647112281194
0.7,4.0,16.0,68.29425775079909
0.7,8.0,0.5,71.80688975123837
0.7,8.0,1.0,71.76864318294696
0.7,8.0,2.0,71.81272033003972
0.7,8.0,4.0,71.87445045062732
0.7,8.0,8.0,71.92623208287027
0.7,8.0,16.0,71.95774191791148
0.7,16.0,0.5,75.78938873521362
0.7,16.0,1.0,75.96603998013242
0.7,16.0,2.0,76.08597618742402
0.7,16.0,4.0,76.16145241889906
0.7,16.0,8.0,76.20577423861845
0.7,16.0,16.0,76.22889281234053
0.8,0.5,0.5,65.54305393457366
0.8,0.5,1.0,65.4914756855208
0.8,0.5,2.0,65.42220368449783
0.8,0.5,4.0,65.33893341982896
0.8,0.5,8.0,65.26216653841111
0.8,0.5,16.0,65.23700504577893
0.8,1.0,0.5,65.01179749427538
0.8,1.0,1.0,64.91926847301457
0.8,1.0,2.0,64.82182462452278
0.8,1.0,4.0,64.72945959559243
0.8,1.0,8.0,64.68843453435156
0.8,1.0,16.0,64.69478142911456
0.8,2.0,0.5,65.02964250906376
0.8,2.0,1.0,64.89580395819837
0.8,2.0,2.0,64.77904676881613
0.8,2.0,4.0,64.72311605718004
0.8,2.0,8.0,64.718602228737
0.8,2.0,16.0,64.73326829953697
0.8,4.0,0.5,66.08124278178516
0.8,4.0,1.0,65.97624484339947
0.8,4.0,2.0,65.8931873208566
0.8,4.0,4.0,65.88165595186666
0.8,4.0,8.0,65.91952585784473
0.8,4.0,16.0,65.95166759778282
0.8,8.0,0.5,68.95132768414857
0.8,8.0,1.0,68.87757777037936
0.8,8.0,2.0,68.90888802589508
0.8,8.0,4.0,68.96963959384001
0.8,8.0,8.0,69.02996448355105
0.8,8.0,16.0,69.0643011477935
0.8,16.0,0.5,73.02595416014485
0.8,16.0,1.0,73.15990751522112
0.8,16.0,2.0,73.30255742394142
0.8,16.0,4.0,73.40072808147859
0.8,16.0,8.0,73.45501388022896
0.8,16.0,16.0,73.48448336888308
0.85,0.5,0.5,65.01797393463671
0.85,0.5,1.0,64.98061217237904
0.85,0.5,2.0,64.93512359065075
0.85,0.5,4.0,64.87650135663905
0.85,0.5,8.0,64.81832645932361
0.85,0.5,16.0,64.80276165569514
0.85,1.0,0.5,64.421319251602
0.85,1.0,1.0,64.35493721316136
0.85,1.0,2.0,64.29104879367455
0.85,1.0,4.0,64.22253281353382
0.85,1.0,8.0,64.18848362670879
0.85,1.0,16.0,64.1975353933735
0.85,2.0,0.5,64.2425017923237
0.85,2.0,1.0,64.13488756222198
0.85,2.0,2.0,64.03730419774045
0.85,2.0,4.0,63.991758895091245
0.85,2.0,8.0,63.99548963323046
0.85,2.0,16.0,64.00788742631742
0.85,4.0,0.5,64.96443194754745
0.85,4.0,1.0,64.85718109689842
0.85,4.0,2.0,64.80263833511064
0.85,4.0,4.0,64.7945927181575
0.85,4.0,8.0,64.82326840698107
0.85,4.0,16.0,64.85817033528504
0.85,8.0,0.5,67.33267678203583
0.85,8.0,1.0,67.26170385946789
0.85,8.0,2.0,67.24397361753084
0.85,8.0,4.0,67.3055024614856
0.85,8.0,8.0,67.36936953619015
0.85,8.0,16.0,67.41151119276682
0.85,16.0,0.5,71.1529087374144
0.85,16.0,1.0,71.2315240786288
0.85,16.0,2.0,71.35001509308482
0.85,16.0,4.0,71.45121300626553
0.85,16.0,8.0,71.51513951926566
0.85,16.0,16.0,71.55039023685738
0.9,0.5,0.5,64.65707509734169
0.9,0.5,1.0,64.6196594397187
0.9,0.5,2.0,64.58151623547207
0.9,0.5,4.0,64.54225957627588
0.9,0.5,8.0,64.51225253993799
0.9,0.5,16.0,64.49769635486392
0.9,1.0,0.5,64.06041107282812
0.9,1.0,1.0,64.00287410937962
0.9,1.0,2.0,63.955634811185696
0.9,1.0,4.0,63.91151134170546
0.9,1.0,8.0,63.89482235521649
0.9,1.0,16.0,63.888678329099186
0.9,2.0,0.5,63.6571449774787
0.9,2.0,1.0,63.57918118128155
0.9,2.0,2.0,63.509926225917454
0.9,2.0,4.0,63.47075950176476
0.9,2.0,8.0,63.466478415328226
0.9,2.0,16.0,63.481364168677764
0.9,4.0,0.5,64.01372006461841
0.9,4.0,1.0,63.928569459466
0.9,4.0,2.0,63.87388267174156
0.9,4.0,4.0,63.86652725874636
0.9,4.0,8.0,63.87197012900208
0.9,4.0,16.0,63.906574607929414
0.9,8.0,0.5,65.7312927069168
0.9,8.0,1.0,65.66613638371594
0.9,8.0,2.0,65.65464509875801
0.9,8.0,4.0,65.69096699725091
0.9,8.0,8.0,65.74578467390954
0.9,8.0,16.0,65.78239724457232
0.9,16.0,0.5,69.03858589976745
0.9,16.0,1.0,69.01698582069565
0.9,16.0,2.0,69.11680268240747
